Season,Rank,Team
18-19,1,MIL
18-19,2,TOR
18-19,3,GSW
18-19,4,DEN
18-19,5,HOU
18-19,6,POR
18-19,7,PHI
18-19,8,UTA
18-19,9,BOS
18-19,10,OKC
18-19,11,IND
18-19,12,LAC
18-19,13,SAS
18-19,14,BRK
18-19,15,ORL
18-19,16,DET
18-19,17,CHO
18-19,18,MIA
18-19,19,SAC
18-19,20,LAL
18-19,21,MIN
18-19,22,DAL
18-19,23,MEM
18-19,24,NOP
18-19,25,WAS
18-19,26,ATL
18-19,27,CHI
18-19,28,CLE
18-19,29,PHO
18-19,30,NYK
17-18,1,HOU
17-18,2,TOR
17-18,3,GSW
17-18,4,BOS
17-18,5,PHI
17-18,6,CLE
17-18,7,POR
17-18,8,IND
17-18,9,NOP
17-18,10,OKC
17-18,11,UTA
17-18,12,MIN
17-18,13,SAS
17-18,14,DEN
17-18,15,MIA
17-18,16,MIL
17-18,17,WAS
17-18,18,LAC
17-18,19,DET
17-18,20,CHO
17-18,21,LAL
17-18,22,NYK
17-18,23,BRK
17-18,24,CHI
17-18,25,SAC
17-18,26,ORL
17-18,27,ATL
17-18,28,DAL
17-18,29,MEM
17-18,30,PHO
16-17,1,GSW
16-17,2,SAS
16-17,3,HOU
16-17,4,BOS
16-17,5,CLE
16-17,6,LAC
16-17,7,TOR
16-17,8,UTA
16-17,9,WAS
16-17,10,OKC
16-17,11,ATL
16-17,12,MEM
16-17,13,IND
16-17,14,MIL
16-17,15,CHI
16-17,16,POR
16-17,17,MIA
16-17,18,DEN
16-17,19,DET
16-17,20,CHO
16-17,21,NOP
16-17,22,DAL
16-17,23,SAC
16-17,24,MIN
16-17,25,NYK
16-17,26,ORL
16-17,27,PHI
16-17,28,LAL
16-17,29,PHO
16-17,30,BRK
15-16,1,GSW
15-16,2,SAS
15-16,3,CLE
15-16,4,TOR
15-16,5,OKC
15-16,6,LAC
15-16,7,ATL
15-16,8,BOS
15-16,9,CHO
15-16,10,MIA
15-16,11,IND
15-16,12,DET
15-16,13,POR
15-16,14,DAL
15-16,15,MEM
15-16,16,CHI
15-16,17,HOU
15-16,18,WAS
15-16,19,UTA
15-16,20,ORL
15-16,21,DEN
15-16,22,MIL
15-16,23,SAC
15-16,24,NYK
15-16,25,NOP
15-16,26,MIN
15-16,27,PHO
15-16,28,BRK
15-16,29,LAL
15-16,30,PHI
14-15,1,GSW
14-15,2,ATL
14-15,3,HOU
14-15,4,LAC
14-15,5,MEM
14-15,6,SAS
14-15,7,CLE
14-15,8,POR
14-15,9,CHI
14-15,10,DAL
14-15,11,TOR
14-15,12,WAS
14-15,13,NOP
14-15,14,OKC
14-15,15,MIL
14-15,16,BOS
14-15,17,PHO
14-15,18,BRK
14-15,19,IND
14-15,20,UTA
14-15,21,MIA
14-15,22,CHO
14-15,23,DET
14-15,24,DEN
14-15,25,SAC
14-15,26,ORL
14-15,27,LAL
14-15,28,PHI
14-15,29,NYK
14-15,30,MIN
13-14,1,SAS
13-14,2,OKC
13-14,3,LAC
13-14,4,IND
13-14,5,HOU
13-14,6,MIA
13-14,7,POR
13-14,8,GSW
13-14,9,MEM
13-14,10,DAL
13-14,11,CHI
13-14,12,TOR
13-14,13,PHO
13-14,14,BRK
13-14,15,WAS
13-14,16,CHA
13-14,17,MIN
13-14,18,ATL
13-14,19,NYK
13-14,20,DEN
13-14,21,NOP
13-14,22,CLE
13-14,23,DET
13-14,24,SAC
13-14,25,LAL
13-14,26,BOS
13-14,27,UTA
13-14,28,ORL
13-14,29,PHI
13-14,30,MIL
12-13,1,MIA
12-13,2,OKC
12-13,3,SAS
12-13,4,DEN
12-13,5,LAC
12-13,6,MEM
12-13,7,NYK
12-13,8,BRK
12-13,9,IND
12-13,10,GSW
12-13,11,CHI
12-13,12,HOU
12-13,13,LAL
12-13,14,ATL
12-13,15,UTA
12-13,16,BOS
12-13,17,DAL
12-13,18,MIL
12-13,19,PHI
12-13,20,TOR
12-13,21,POR
12-13,22,MIN
12-13,23,DET
12-13,24,WAS
12-13,25,SAC
12-13,26,NOH
12-13,27,PHO
12-13,28,CLE
12-13,29,CHA
12-13,30,ORL
11-12,1,CHI
11-12,2,SAS
11-12,3,OKC
11-12,4,MIA
11-12,5,IND
11-12,6,LAL
11-12,7,MEM
11-12,8,ATL
11-12,9,LAC
11-12,10,BOS
11-12,11,DEN
11-12,12,ORL
11-12,13,DAL
11-12,14,NYK
11-12,15,UTA
11-12,16,PHI
11-12,17,HOU
11-12,18,PHO
11-12,19,MIL
11-12,20,POR
11-12,21,MIN
11-12,22,DET
11-12,23,GSW
11-12,24,TOR
11-12,25,NJN
11-12,26,SAC
11-12,27,CLE
11-12,28,NOH
11-12,29,WAS
11-12,30,CHA
10-11,1,CHI
10-11,2,SAS
10-11,3,MIA
10-11,4,DAL
10-11,5,LAL
10-11,6,BOS
10-11,7,OKC
10-11,8,ORL
10-11,9,DEN
10-11,10,POR
10-11,11,MEM
10-11,12,NOH
10-11,13,ATL
10-11,14,HOU
10-11,15,NYK
10-11,16,PHI
10-11,17,PHO
10-11,18,UTA
10-11,19,IND
10-11,20,GSW
10-11,21,MIL
10-11,22,CHA
10-11,23,LAC
10-11,24,DET
10-11,25,NJN
10-11,26,SAC
10-11,27,WAS
10-11,28,TOR
10-11,29,CLE
10-11,30,MIN
